B&D Classic,B&Dクラシック,0,1,1,1,null,1
raven,raven,0,1,1,1,null,0
Shimokita Goofy,下北グーフィー,0,1,1,1,null,0
Esprit,Esprit,0,1,1,1,null,0
Kurokiri,黒霧,0,1,1,1,null,0
Bacchus,バッカス,0,1,1,1,null,0
Silver wolf,シルバーウルフ,0,1,1,1,null,0
